system:time_start,0,1,2,3,4
"Jan 1, 2015",0.335,0.393,0.526,0.544,0.336
"Jan 9, 2015",0.288,0.443,0.503,0.547,0.236
"Jan 17, 2015",0.296,0.438,0.497,0.523,0.285
"Jan 25, 2015",0.283,0.444,0.471,0.54,0.241
"Feb 2, 2015",0.274,0.405,0.451,0.495,0.278
"Feb 10, 2015",0.259,0.398,0.402,0.481,0.247
"Feb 18, 2015",0.243,0.434,0.434,0.434,0.237
"Feb 26, 2015",0.268,0.361,0.312,0.338,0.239
"Mar 6, 2015",0.226,0.36,0.38,0.338,0.226
"Mar 14, 2015",0.234,0.315,0.345,0.348,0.271
"Mar 22, 2015",0.221,0.298,0.315,0.321,0.216
"Mar 30, 2015",0.196,0.298,0.336,0.306,0.195
"Apr 7, 2015",0.211,0.351,0.379,0.287,0.204
"Apr 15, 2015",0.206,0.359,0.315,0.282,0.211
"Apr 23, 2015",0.187,0.383,0.283,0.263,0.183
"May 1, 2015",0.197,0.337,0.341,0.263,0.213
"May 9, 2015",0.207,0.378,0.34,0.261,0.219
"May 17, 2015",0.209,0.363,0.33,0.285,0.187
"May 25, 2015",0.184,0.33,0.25,0.275,0.171
"Jun 2, 2015",0.186,0.353,0.281,0.258,0.192
"Jun 10, 2015",0.225,0.328,0.304,0.272,0.219
"Jun 18, 2015",0.08,0.351,0.192,0.334,0.023
"Jun 26, 2015",0.201,0.146,0.178,0.42,0.314
"Jul 4, 2015",0.192,0.419,0.436,0.146,0.092
"Jul 12, 2015",0.283,0.417,0.242,0.689,0.075
"Jul 20, 2015",0.173,0.052,0.082,0.075,0.037
"Jul 28, 2015",0.143,0.25,0.191,0.188,0.094
"Aug 5, 2015",0.078,0.149,0.135,0.184,0.189
"Aug 13, 2015",0.06,0.169,0.133,0.348,0.536
"Aug 21, 2015",0.536,0.581,0.579,0.777,0.541
"Aug 29, 2015",0.563,0.505,0.563,0.721,0.458
"Sep 6, 2015",0.68,0.567,0.546,0.715,0.597
"Sep 14, 2015",0.545,0.526,0.573,0.63,0.57
"Sep 22, 2015",0.675,0.545,0.622,0.692,0.539
"Sep 30, 2015",0.672,0.494,0.557,0.548,0.536
"Oct 8, 2015",0.699,0.468,0.447,0.477,0.475
"Oct 16, 2015",0.622,0.406,0.454,0.431,0.528
"Oct 24, 2015",0.562,0.404,0.398,0.442,0.498
"Nov 1, 2015",0.566,0.39,0.405,0.465,0.32
"Nov 9, 2015",0.49,0.38,0.369,0.49,0.42
"Nov 17, 2015",0.484,0.382,0.404,0.443,0.313
"Nov 25, 2015",0.46,0.385,0.362,0.473,0.399
"Dec 3, 2015",0.45,0.391,0.331,0.459,0.419
"Dec 11, 2015",0.431,0.354,0.412,0.513,0.341
"Dec 19, 2015",0.382,0.419,0.401,0.479,0.308
"Dec 27, 2015",0.332,0.492,0.428,0.402,0.307
